ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Gender,Group,Handedness,HomeCountry,NativeLanguage,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,BottomGender,Bottomprofession,ComprehensionQuestion.RESP,ComprehensionQuestion.RT,GenderCondition,HierarchyCondition,HighPosition,ItemNo,list1,list10,list11,list12,list13,list14,list15,list16,list17,list18,list19,list2,list20,list21,list22,list23,list24,list25,list26,list27,list28,list29,list3,list30,list31,list32,list4,list5,list6,list7,list8,list9,LowPosition,MainConditionTable,MainExperimentBlock1,MainExperimentBlock1.Cycle,MainExperimentBlock1.Sample,MainExperimentBlock2,MainExperimentBlock2.Cycle,MainExperimentBlock2.Sample,MainList,MainQuestion.RESP,MainQuestion.RT,MainQuestion.RTTime,MainScreen.RESP,MainScreen.RT,MainScreen.RTTime,PairName,PracticeDisplayTime,PracticeHigh,PracticeLow,PracticeQuestion,PracticeRun,PracticeRun.Cycle,PracticeRun.Sample,PracticeText.RESP,PracticeText.RT,Procedure,Question,QuestionDisplayTime,Running,TopGender,TopProfession
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,female master,male butler,,1,1,1,{UPARROW},1791,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,2,,,{UPARROW},4166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,male head teacher,female teacher,Was the male at the top or the bottom? (PRESS UP OR DOWN ARROW),2,1,2,{UPARROW},1312,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,female cleaner,male landlord,,3,1,3,{DOWNARROW},1498,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,male football player,female football coach,,4,1,4,{DOWNARROW},2430,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,male president,female citizen,,5,1,5,{UPARROW},1392,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,6,,,{DOWNARROW},2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,female trainee,male expert,Was the female at the top or the bottom? (PRESS UP OR DOWN ARROW),6,1,6,{DOWNARROW},1595,PracticeProcedure,,,PracticeRun,,
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,7,female,parent,,,MaleTop,BottomPower,parent,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,child,1,1,1,1,,,,5,,0,0,{DOWNARROW},1000,290174,parent:child,,,,,,,,,,MainProcedure,,0,MainExperimentBlock1,male,child
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,8,female,pilot,,,MaleTop,BottomPower,pilot,11,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flight attendant,1,1,1,2,,,,11,,0,0,{DOWNARROW},1658,293113,pilot:flight_attendant,,,,,,,,,,MainProcedure,,0,MainExperimentBlock1,male,flight attendant
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,9,male,soldier,,,FemaleTop,TopPower,colonel,14,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,soldier,1,1,1,3,,,,14,,0,0,{UPARROW},1756,296142,colonel:soldier,,,,,,,,,,MainProcedure,,0,MainExperimentBlock1,female,colonel
professions_englishA,2,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2338408</Frequency><Timestamp dt:dt=""r8"">183027155724</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-02-01T11:51:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",professions_englishA-002-1,60.061,1.0.0.107,female,1,right,Britain,English,-1655980684,Standard,2.0.10.353,2.0.10.353,02/01/2017,01/02/2017 11:51,11:51:26,2.0.10.248,10,male,parent,,,FemaleTop,BottomPower,parent,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,child,1,1,1,4,,,,5,,0,0,{DOWNARROW},920,298336,parent:child,,,,,,,,,,MainProcedure,,0,MainExperimentBlock1,female,child
